Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
262,GE,369604103,-82262.5,0.8,1.2,13883.9
263,JOB,36165A102,40.9,0,0,-1.3
264,SPXC,784635104,-563.7,0.3,0.5,232.1
265,GNTX,371901109,1537.4,0,0,138.1
266,GPC,372460105,467.1,0.1,0.1,466.8
267,GIGA,375175106,-18.5,0.1,0,-1.5
268,GLT,377316104,463.6,0.3,0.4,49.1
269,GDRZF,38068N108,266.6,2.8,0.3,-21.5
270,GV,381370105,9.5,0.2,0.3,1.4
271,GT,382550101,7243.7,0.4,1.6,113.7
272,GRA,38388F108,-908.1,0.2,0,72.5
273,GGG,384109104,-429.5,0.2,0.1,136.3
274,GHM,384556106,115.3,0,0,6.6
275,GWW,384802104,-1800.8,0.1,0,461
276,GTN,389375106,3813.5,1.5,5.7,-3.5
277,GEF,397624107,-594.1,0.4,0.5,115.3
278,GLF,402629505,91,0.5,0.8,30
279,HAL,406216101,47418.8,0.3,0.2,1354
280,HRS,413875105,1155.3,0.3,0.2,255.6
281,HSC,415864107,-3110.2,0.4,0.5,61.2
282,HAS,418056107,3251,0.4,0.3,239.2
283,AMOT,19330109,165,0.2,0.2,2.9
284,HVT,419596101,-93.3,0.2,0.2,15.2
285,HWKN,420261109,-108,0,0,14.2
286,HCSG,421906108,-172.2,0,0,26.4
287,STRL,859241101,16.2,-0.2,0.9,-2.1
288,HL,422704106,1042.8,0.1,0.3,8.4
289,HELE,G4388N106,-91.1,0.3,0.3,64.8
290,HP,423452101,2541.8,0.1,0.1,314.8
291,HMENF,423630102,-7.1,0,0,-1.8
292,HSY,427866108,193,0.5,0.1,499.2
293,HPQ,40434L105,18087.5,0.2,0.2,3684.5
294,HXL,428291108,643.1,1,0.8,67
295,HICKA,428839104,0.1,0,0,-0.6
296,HFC,436106108,6126.9,0.1,0.2,360.4
297,PNK,72348Y105,758,2,1.8,-47.5
298,HD,437076102,-28637.5,0.3,0.1,4375.2
299,HOFD,43739D307,290.3,0.9,0.1,11.2
300,HNI,404251100,-181.4,0.2,0.1,78.5
301,HPHW,439104209,-219.2,0,0,-10.3
302,HRL,440452100,-441.8,0.1,0.1,350.9
303,HOV,442487203,-597.1,16,3.5,-64.6
304,HUBB,443510607,3098.7,0.2,0.1,199.2
305,JBHT,445658107,-2189.7,0.4,0.2,203.2
306,HURC,447324104,444.2,0.1,0.2,8.5
307,HBP,448451104,242.5,0.4,1.2,-1.5
308,IEC,44949L105,-120.6,0.5,1,-2.9
309,ITT,45073V108,6421.9,0.1,0.1,418.5
310,ITW,452308109,10269.9,0.2,0.1,1586.2
311,TLGT,87960W104,590.1,0.4,0.2,-0.9
312,IMMU,452907108,-173.1,1,0.1,-13.3
313,IMO,453038408,-17587.5,0.1,0.1,2436.2
314,IEHC,44949K107,11.2,0,0.1,0.8
315,IR,G47791101,-2268.1,0.3,0.3,669
316,AEGN,00770F104,1097.2,0.3,0.3,20
317,GFF,398433102,118.6,0.4,0.6,19.9
318,IDTI,458118106,-1149.5,0,0,-28.8
